TITLE,Sucrose_0.05M
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,1
DATE,21/01/25
TIME,13:01:17
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2700.0000
LASTX,  200.0000
NPOINTS,   12501
FIRSTY,     0.80755
MAXY,    10.00000
MINY,    -4.83885
XYDATA
2559.3999,10
2559.2000,0.651051
2559.0000,10
2558.8000,10
2558.6001,-1.53197
2558.3999,10
2558.2000,10
2558.0000,10
2557.8000,10
2557.6001,-0.391672
2557.3999,2.72652
2557.2000,10
2557.0000,-1.03777
2556.8000,0
2556.6001,10
2556.3999,10
2556.2000,10
2556.0000,0
2555.8000,0.0222764
2555.6001,0
2555.3999,10
2555.2000,0.539055
2555.0000,-2.24629
2554.8000,10
2554.6001,0.199532
2554.3999,0
2554.2000,0
2554.0000,10
2553.8000,0
2553.6001,10
2553.3999,0
2553.2000,10
2553.0000,10
2552.8000,10
2552.6001,2.36782
2552.3999,10
2552.2000,-0.297676
2552.0000,10
2551.8000,10
2551.6001,0
2551.3999,0
2551.2000,-2.60404
2551.0000,10
2550.8000,-1.2723
2550.6001,10
2550.3999,10
2550.2000,0
2550.0000,-0.251199
2549.8000,0.408562
2549.6001,1.66483
2549.3999,10
2549.2000,10
2549.0000,0.278167
2548.8000,1.85999
2548.6001,0.20412
2548.3999,-2.91121
2548.2000,0
2548.0000,10
2547.8000,10
2547.6001,10
2547.3999,-0.472909
2547.2000,10
2547.0000,0
2546.8000,0
2546.6001,10
2546.3999,0.746438
2546.2000,0.0215753
2546.0000,-1.55618
2545.8000,10
2545.6001,10
2545.3999,10
2545.2000,1.62773
2545.0000,10
2544.8000,10
2544.6001,10
2544.3999,2.53812
2544.2000,10
2544.0000,10
2543.8000,10
2543.6001,0
2543.3999,10
2543.2000,0.691482
2543.0000,-2.03355
2542.8000,10
2542.6001,10
2542.3999,10
2542.2000,10
2542.0000,10
2541.8000,10
2541.6001,-2.75777
2541.3999,10
2541.2000,10
2541.0000,10
2540.8000,0
2540.6001,10
2540.3999,10
2540.2000,10
2540.0000,10
2539.8000,10
2539.6001,10
2539.3999,10
2539.2000,-3.73552
2539.0000,10
2538.8000,-2.88616
2538.6001,-1.84785
2538.3999,2.31514
2538.2000,10
2538.0000,-1.86328
2537.8000,0
2537.6001,0
2537.3999,1.44268
2537.2000,-0.586154
2537.0000,2.84357
2536.8000,0.497177
2536.6001,-2.84114
2536.3999,0
2536.2000,10
2536.0000,10
2535.8000,10
2535.6001,10
2535.3999,10
2535.2000,10
2535.0000,0
2534.8000,10
2534.6001,-2.28267
2534.3999,10
2534.2000,10
2534.0000,0.444471
2533.8000,1.48646
2533.6001,0.034383
2533.3999,0
2533.2000,0
2533.0000,10
2532.8000,0.601337
2532.6001,0
2532.3999,1.34146
2532.2000,0
2532.0000,10
2531.8000,-2.38796
2531.6001,0.269198
2531.3999,10
2531.2000,0.225295
2531.0000,1.59302
2530.8000,-0.394722
2530.6001,-2.01705
2530.3999,10
2530.2000,10
2530.0000,10
2529.8000,0.481486
2529.6001,1.11545
2529.3999,10
2529.2000,0.484451
2529.0000,10
2528.8000,0
2528.6001,10
2528.3999,10
2528.2000,10
2528.0000,2.55669
2527.8000,0
2527.6001,10
2527.3999,10
2527.2000,-0.19382
2527.0000,-1.93418
2526.8000,10
2526.6001,2.68761
2526.3999,-0.21494
2526.2000,2.7555
2526.0000,10
2525.8000,10
2525.6001,3.36391
2525.3999,10
2525.2000,0
2525.0000,10
2524.8000,10
2524.6001,10
2524.3999,-1.12062
2524.2000,10
2524.0000,-2.9107
2523.8000,0.618048
2523.6001,10
2523.3999,-2.1765
2523.2000,0
2523.0000,-1.45122
2522.8000,2.90024
2522.6001,0.914527
2522.3999,10
2522.2000,0.0130157
2522.0000,10
2521.8000,10
2521.6001,0
2521.3999,10
2521.2000,10
2521.0000,10
2520.8000,3.54818
2520.6001,-0.783588
2520.3999,10
2520.2000,10
2520.0000,2.07588
2519.8000,10
2519.6001,10
2519.3999,10
2519.2000,10
2519.0000,10
2518.8000,0
2518.6001,0
2518.3999,10
2518.2000,10
2518.0000,0
2517.8000,10
2517.6001,10
2517.3999,10
2517.2000,-2.78732
2517.0000,10
2516.8000,-1.89595
2516.6001,-3.08058
2516.3999,0
2516.2000,-2.20886
2516.0000,10
2515.8000,1.65517
2515.6001,10
2515.3999,2.04909
2515.2000,-2.83527
2515.0000,3.34609
2514.8000,10
2514.6001,1.36015
2514.3999,1.27236
2514.2000,10
2514.0000,10
2513.8000,0
2513.6001,10
2513.3999,2.21473
2513.2000,0.234008
2513.0000,-0.0538464
2512.8000,-0.987035
2512.6001,0
2512.3999,-1.52404
2512.2000,0
2512.0000,1.15746
2511.8000,10
2511.6001,0.383502
2511.3999,-1.95289
2511.2000,-2.05985
2511.0000,0
2510.8000,-0.135124
2510.6001,10
2510.3999,10
2510.2000,0
2510.0000,2.39515
2509.8000,0
2509.6001,1.19106
2509.3999,0
2509.2000,10
2509.0000,-2.23171
2508.8000,0.840426
2508.6001,10
2508.3999,10
2508.2000,0
2508.0000,-1.6438
2507.8000,0
2507.6001,10
2507.3999,-2.35039
2507.2000,0.495509
2507.0000,-3.62938
2506.8000,10
2506.6001,10
2506.3999,2.37144
2506.2000,10
2506.0000,10
2505.8000,10
2505.6001,10
2505.3999,0
2505.2000,2.57317
2505.0000,-1.17211
2504.8000,0
2504.6001,0.586234
2504.3999,-2.75286
2504.2000,10
2504.0000,10
2503.8000,10
2503.6001,10
2503.3999,10
2503.2000,2.32641
2503.0000,10
2502.8000,0.557856
2502.6001,2.61645
2502.3999,10
2502.2000,-0.0243645
2502.0000,-0.00278217
2501.8000,10
2501.6001,10
2501.3999,1.1839
2501.2000,10
2501.0000,10
2500.8000,10
2500.6001,-0.272556
2500.3999,3.4315
2500.2000,10
2500.0000,10
2499.8000,1.71397
2499.6001,0
2499.3999,10
2499.2000,10
2499.0000,10
2498.8000,10
2498.6001,10
2498.3999,10
2498.2000,10
2498.0000,10
2497.8000,-0.193353
2497.6001,-1.35534
2497.3999,1.83794
2497.2000,10
2497.0000,0
2496.8000,0
2496.6001,2.66716
2496.3999,3.00924
2496.2000,-3.10048
2496.0000,-0.237635
2495.8000,0
2495.6001,0
2495.3999,0.537246
2495.2000,-0.62322
2495.0000,-0.132073
2494.8000,10
2494.6001,10
2494.3999,10
2494.2000,-3.05782
2494.0000,-3.23415
2493.8000,10
2493.6001,-2.62864
2493.3999,10
2493.2000,-0.613746
2493.0000,10
2492.8000,10
2492.6001,0.347011
2492.3999,10
2492.2000,0
2492.0000,10
2491.8000,10
2491.6001,10
2491.3999,0
2491.2000,0
2491.0000,10
2490.8000,2.3035
2490.6001,10
2490.3999,-1.61753
2490.2000,10
2490.0000,10
2489.8000,0
2489.6001,1.5939
2489.3999,0
2489.2000,1.99786
