Wavelength(nm),Absorbance
2460.0000,2.54617
2459.8000,-2.32816
2459.6001,1.00748
2459.3999,10
2459.2000,-0.400307
2459.0000,10
2458.8000,10
2458.6001,-0.0188384
2458.3999,1.74799
2458.2000,0
2458.0000,-0.0809794
2457.8000,10
2457.6001,-0.37364
2457.3999,0
2457.2000,1.49659
2457.0000,-2.50663
2456.8000,10
2456.6001,10
2456.3999,10
2456.2000,0
2456.0000,10
2455.8000,10
2455.6001,10
2455.3999,10
2455.2000,0
2455.0000,-2.05545
2454.8000,10
2454.6001,0.865082
2454.3999,-0.60996
2454.2000,10
2454.0000,0.0675565
2453.8000,10
2453.6001,10
2453.3999,0
2453.2000,0
2453.0000,10
2452.8000,10
2452.6001,10
2452.3999,10
2452.2000,10
2452.0000,10
2451.8000,2.96156
2451.6001,0
2451.3999,10
2451.2000,0.514488
2451.0000,0.393543
2450.8000,-1.77142
2450.6001,10
2450.3999,-2.65704
2450.2000,2.72318
2450.0000,-2.87173
2449.8000,2.19024
2449.6001,-3.17177
2449.3999,10
2449.2000,10
2449.0000,0
2448.8000,10
2448.6001,10
2448.3999,10
2448.2000,0.618967
2448.0000,0
2447.8000,-0.069988
2447.6001,0.155511
2447.3999,-1.55086
2447.2000,2.20013
2447.0000,0
2446.8000,-0.809882
2446.6001,10
2446.3999,10
2446.2000,-0.28203
2446.0000,0
2445.8000,-3.22122
2445.6001,3.33268
2445.3999,10
2445.2000,10
2445.0000,10
2444.8000,10
2444.6001,-0.360674
2444.3999,10
2444.2000,10
2444.0000,2.72846
2443.8000,10
2443.6001,1.55046
2443.3999,10
2443.2000,10
2443.0000,0.366383
2442.8000,2.4917
2442.6001,0
2442.3999,10
2442.2000,10
2442.0000,2.54125
2441.8000,10
2441.6001,2.25338
2441.3999,10
2441.2000,10
2441.0000,10
2440.8000,10
2440.6001,10
2440.3999,2.91715
2440.2000,0
2440.0000,10
2439.8000,10
2439.6001,10
2439.3999,0.246931
2439.2000,10
2439.0000,0.0984718
2438.8000,3.43049
2438.6001,0.662814
2438.3999,2.05494
2438.2000,0.49141
2438.0000,0.709922
2437.8000,10
2437.6001,-2.53981
2437.3999,-2.42894
2437.2000,10
2437.0000,10
2436.8000,0
2436.6001,-0.829495
2436.3999,-1.75248
2436.2000,-0.704602
2436.0000,0
2435.8000,2.3529
2435.6001,-1.08609
2435.3999,10
2435.2000,0.298772
2435.0000,10
2434.8000,10
2434.6001,0.121709
2434.3999,10
2434.2000,1.3943
2434.0000,10
2433.8000,10
2433.6001,-3.41206
2433.3999,2.80508
2433.2000,10
2433.0000,1.98874
2432.8000,0
2432.6001,2.52852
2432.3999,10
2432.2000,1.8139
2432.0000,0
2431.8000,10
2431.6001,10
2431.3999,0
2431.2000,10
2431.0000,10
2430.8000,-2.49095
2430.6001,-0.124939
2430.3999,-2.15165
2430.2000,0
2430.0000,0
2429.8000,-0.417123
2429.6001,3.56359
2429.3999,10
2429.2000,10
2429.0000,10
2428.8000,-1.69493
2428.6001,0
2428.3999,10
2428.2000,-0.780787
2428.0000,-0.13945
2427.8000,10
